title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
VASYA   TANAKAYU | RUMAH 3 LANTAI FULL FURNISH TANPA DP,"Bumi Serpong Damai, Tangerang Selatan",Rp2.900.000.000,3,137 m²,84 m²
"jarang ada yang jual , siapa cepat dapat","Alam Sutera, Tangerang Selatan",Rp5.800.000.000,4,246 m²,240 m²
RUMAH 2 LANTAI HANYA 700 JUTAAN DI PAMULANG,"Pamulang, Tangerang Selatan",Rp700.000.000,3,70 m²,60 m²
Rumah Dijual Di Puri Bintaro Hijau Pondok Aren,Tangerang Selatan,Rp870.000.090,2,39 m²,72 m²
Rumah Dijual Dekat Setu Tangsel Full Furnished Siap Huni J-19799,"Setu, Tangerang Selatan",Rp1.500.000.000,2,80 m²,90 m²
150m2 Rumah Bagus Murah Untung Belakang Kampus STAN,Tangerang Selatan,Rp1.980.000.000,3,110 m²,150 m²
"Rumah 2 Lantai Bagus, Strategis Dan Bebas Banjir",Tangerang Selatan,Rp1.230.000.000,3,94 m²,72 m²
Rumah Bagus Murah Siap Huni Serpong Jaya t84m,"Serpong, Tangerang Selatan",Rp1.250.000.000,3,98 m²,84 m²
Rumah 2 Lantai Furnished Dekat Pintu Tol Pondok Aren Bintaro Siap Huni,"Sawah Lama, Tangerang Selatan",Rp1.350.000.000,4,90 m²,90 m²
Rumah Tanpa DP Serpong Free Biaya KPR Kota Mandiri,"Serpong, Tangerang Selatan",Rp750.000.000,3,57 m²,60 m²
"RUMAH LUX DALAM PERUMAHAN DI BINTARO, TANGERANG.","Bintaro, Tangerang Selatan",Rp1.750.000.000,4,150 m²,112 m²
Rumah Strategis Siap KPR Dekat Alam Sutera Harga All In J-10070,"Alam Sutera, Tangerang Selatan",Rp960.000.000,3,90 m²,103 m²
Jual Rumah Hook Depan Fasum Tmn Bermain Di Linea Graha Raya Bintaro,"Serpong Utara, Tangerang Selatan",Rp1.350.000.000,2,45 m²,60 m²
Dijual Rumah Cantik Dekat Akses Tol Di Sektor 9 Bintaro,"Bintaro, Tangerang Selatan",Rp2.800.000.000,3,117 m²,105 m²
Rumah 2 Lantai Modern Jual Cepat Terawat di Discovery Bintaro CW-5616,"Bintaro, Tangerang Selatan",Rp4.500.000.000,4,160 m²,150 m²
PERMATA ADORA BINTARO SEKTOR 9 RUMAH HOOK IDAMAN TITIHAN MALEO EMERALD,"Bintaro, Tangerang Selatan",Rp2.800.000.000,4,210 m²,135 m²
Jual rumah 3 lantai subsidi DP di Cluster Eonna BSD Tangerang Selatan,"Serpong, Tangerang Selatan",Rp5.667.000.000,5,255 m²,144 m²
Dijual Rumah Semi Furnished di Villa Bintaro Regency (3 M) 8397 oc,Tangerang Selatan,Rp3.000.000.000,3,200 m²,200 m²
DISCOVERY EOLA BINTARO RUMAH KEREN SIAP HUNI EMERALD KEBAYORAN PURI,"Bintaro, Tangerang Selatan",Rp3.850.000.000,4,165 m²,153 m²
"Rumah Hommy di Sarua Ciputat Tangerang Selatan (1,3 M) 12207 oc","Ciputat, Tangerang Selatan",Rp1.300.000.000,6,198 m²,168 m²
Dijual Rumah Di Kencana Loka BSD Tangerang Selatan,"Bumi Serpong Damai, Tangerang Selatan",Rp1.400.000.000,3,140 m²,84 m²
"Beli ini saja ya, GRAHA TARUMA - Cirendeu TangSel","Cirendeu, Tangerang Selatan",Rp1.922.221.850,3,100 m²,60 m²
Rumh dijual 3 Lantai di Emerald Semi Furnished,"Bintaro, Tangerang Selatan",Rp6.500.000.000,4,500 m²,189 m²
Rumah Dg Halaman Luas Bisa Untuk Swimming Pool Di Sektor 9. GB-11092DZ,"Bintaro, Tangerang Selatan",Rp5.500.000.000,4,200 m²,258 m²
Rumah Murah KPR Tanpa DP,"Serpong, Tangerang Selatan",Rp519.200.000,2,42 m²,60 m²
Dijual Rumah 2 Lantai dekat stasiun Rawa Buntu,"Pamulang, Tangerang Selatan",Rp959.000.000,3,70 m²,75 m²
"Rumah Cantik 3 Kamar Tidur, Siap Huni Ad Taman Di Sektor 9. GB-11025DZ","Bintaro, Tangerang Selatan",Rp4.500.000.000,3,106 m²,236 m²
Rumah Mungil Di Dalam Kompleks Bintaro Jaya Sektor 4,"Bintaro, Tangerang Selatan",Rp1.350.000.000,2,70 m²,90 m²
Jual Cepat Mayfield Greenwich BSD type 8 Siap Huni,"Bumi Serpong Damai, Tangerang Selatan",Rp3.250.000.000,3,130 m²,160 m²
Dijual Lelang Rumah di Pamulang Tangerang Selatan,"Pamulang Timur, Tangerang Selatan",Rp2.500.000.000,4,255 m²,135 m²
rumah dua lantai dekat kampus Atmaja BSD dan mall Aeon,"Serpong, Tangerang Selatan",Rp2.150.000.000,3,158 m²,105 m²
RUMAH MEWAH 2 LANTAI DI KOTA TANGERANG SELATAN,"Pamulang, Tangerang Selatan",Rp900.000.000,3,70 m²,60 m²
Rumah Siap Huni 2 lantai selangkah ke KRL mall BSD,"Serpong, Tangerang Selatan",Rp1.350.000.000,3,88 m²,78 m²
Rumah murah BSD dekat tol mall dan krl Furnish,"Serpong, Tangerang Selatan",Rp1.470.000.000,2,50 m²,84 m²
Rumah SHM Graha Raya Bintaro Furnish Bisa KPR Allin biaya biaya,"Bintaro, Tangerang Selatan",Rp1.690.000.000,2,80 m²,98 m²
dijual rumah murah 2 lantai di pamulang,"Pamulang, Tangerang Selatan",Rp750.000.000,3,70 m²,65 m²
Dijual Rumah SHM Villa Melati Mas Furnish Free Biaya sampai balik nama,"Serpong Utara, Tangerang Selatan",Rp1.990.000.000,3,103 m²,140 m²
Dijual cepat rumah cantik dalam cluster keamanan 24 jam dekat bintaro,"Bintaro, Tangerang Selatan",Rp2.950.000.000,3,161 m²,105 m²
Rumah Siap Huni Fully Furnished di Puri Bintaro sektor 9 SC 7858,"Bintaro, Tangerang Selatan",Rp3.100.000.000,4,160 m²,135 m²
Cluster Aman Minimalist Bintaro,"Bintaro, Tangerang Selatan",Rp2.400.000.000,3,80 m²,85 m²
"Di Jual Rumah Baru, Cluster Teraria 1 - Pamulang. Tangsel","Pamulang, Tangerang Selatan",Rp850.000.000,3,74 m²,78 m²
Dijual Rumah Mewah di Villa Melati Mas,"Serpong Utara, Tangerang Selatan",Rp2.800.000.000,5,155 m²,198 m²
"Di jual Rumah Mewah The Mozia Cluster Amata - BSD City, TangSel","Serpong, Tangerang Selatan",Rp4.300.000.000,5,200 m²,160 m²
Rumah Baru Aether Greenwich Park Unit Ready Siap Huni,"Bumi Serpong Damai, Tangerang Selatan",Rp3.450.000.000,3,165 m²,84 m²
Rumah canti siap huni Bintaro sektor 9,"Bintaro, Tangerang Selatan",Rp2.100.000.000,3,83 m²,72 m²
Dijual Cepat Rumah  Hook Siap Huni di Sektor 3A Bintaro,"Bintaro, Tangerang Selatan",Rp3.000.000.000,4,200 m²,200 m²
Dijual Rumah Minimalis Full Renovasi Lokasi Strategis Di Bintaro,"Bintaro, Tangerang Selatan",Rp6.100.000.000,5,300 m²,255 m²
Dijual Murah Rumah Hook Luas Asri dan Nyaman di Bintaro Jaya Sektor 3A,Tangerang Selatan,Rp3.000.000.000,4,110 m²,200 m²
Dijual Rumah Mewah Asri Nyaman Kolam Renang di Menteng Bintaro Jaya,Tangerang Selatan,Rp8.000.000.000,4,400 m²,320 m²
Di jual di Duta Bintaro,Tangerang Selatan,Rp895.000.000,2,72 m²,97 m²
Rumah Mewah Vineyard BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp5.200.000.000,4,250 m²,205 m²
